session_id,user_id,post_id,creator_id,referrer_platform,utm_source,utm_medium,utm_campaign,utm_content,landing_page,session_start_ts,device,country,city,ip_anonymized,pageviews,bounce,time_on_site_sec,clicked_signup,gclid
S6H3CLSY6,U81MYJ6RW,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/pricing,2025-03-06 08:15:51,Android,GB,London,192.0.2.53,1,False,51,False,
SSOF6BKTX,UOCOZO34E,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-05 13:28:49,Android,GB,Manchester,192.0.2.227,1,False,27,False,
S1YO3ELX8,UY1O70MO3,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,05/03/2025 21:49,Android,IE,Manchester,192.0.2.55,1,True,10,False,
SOS4YUOUJ,U24FY1S66,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-07 04:19:25,Android,GB,Glasgow,192.0.2.230,1,False,92,False,
SV3JHIDY9,UMZC4LAWE,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-05T15:45:12.520236+00:00Z,iOS,United Kingdom,London,192.0.2.124,3,False,11,False,
SMLUH2H43,UB2BSPCW0,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06 08:07:24,Android,ES,Madrid,192.0.2.96,1,False,42,False,
S9CREQYZQ,UGOKG0SPH,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-05T22:21:35.379347+00:00Z,Desktop,GB,London,192.0.2.236,3,False,39,False,
SAMP4X0TU,UULMD0YPB,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-07 02:00:25,Android,GB,London,192.0.2.234,1,False,53,False,
S694TJOMX,UGK3S10F6,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-05T19:33:21.319902+00:00Z,iOS,GB,Madrid,192.0.2.213,2,False,73,True,
S2HU64MUQ,U6AHM5D58,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,1741278151471,Android,GB,Dublin,192.0.2.14,1,False,64,False,
SX59ZQ5VE,UNZ26AU0I,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-06 20:00:36,iOS,GB,Leeds,192.0.2.62,1,False,100,False,G1BUUOBQR81
S5DFTWLS8,U5CBXDUW2,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,06/03/2025 22:48,Android,GB,Manchester,192.0.2.7,4,False,79,False,
S4HZ0Y9WD,UYDI59DJL,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06 12:38:06,iOS,GB,Dublin,192.0.2.178,1,False,34,False,
SN97UH11C,UKLR6FYVQ,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-05 14:23:11,Android,GB,Birmingham,192.0.2.114,1,True,7,False,
S24BNFF8X,UW11L2ATM,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06T06:02:33.202241+00:00Z,iOS,GB,London,192.0.2.137,1,False,51,True,
S4PMCEQHB,UI77S1WXH,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-07 07:25:42,Android,GB,Glasgow,192.0.2.176,1,False,31,False,GKOM8D5XWX0
SFCCOC0TC,U6AHM5D58,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06 12:36:50,Android,GB,London,192.0.2.66,1,False,24,False,
SYQ0D7M3B,UI42YJAG6,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06 20:33:37,iOS,GB,London,192.0.2.99,1,False,85,False,
SVCKJ77MT,UN0NFX56F,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,07/03/2025 09:39,Android,United Kingdom,Madrid,192.0.2.94,4,False,46,True,
SJADNNKRR,U6AHM5D58,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,05/03/2025 17:24,iOS,GB,Leeds,192.0.2.16,1,False,81,True,
SNQ7TCI0U,U84D7SIG5,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,05/03/2025 16:54,Android,GB,Leeds,192.0.2.162,2,False,44,False,
SXNE9RGAX,UAQ0TIRVX,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-07T03:29:28.160245+00:00Z,iOS,IE,Manchester,192.0.2.180,1,False,27,False,
S6CHBPFG0,U7OYA8IRS,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/pricing,2025-03-06 12:32:15,Android,GB,Madrid,192.0.2.117,1,False,88,False,G1BGOZU1I4F
S3VRTNJUJ,U69EL1GPC,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-07 02:50:14,iOS,GB,Dublin,192.0.2.105,1,True,5,False,
S386C1GEC,UKXZUQRTY,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,06/03/2025 13:58,iOS,GB,Madrid,192.0.2.178,1,True,4,False,
SO8J3ZCYH,U7QM186QL,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/blog/creator-stories,1741348334569,iOS,GB,Manchester,192.0.2.231,1,False,57,True,
SZNRN9X5E,U5WXQQLTM,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-06T04:00:44.695842+00:00Z,Android,GB,London,192.0.2.247,2,False,26,False,
STHIV1N4X,UCQX1B6VO,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-05 14:18:41,iOS,GB,Manchester,192.0.2.68,1,False,33,False,
SIACDHQCM,U05L7JJCB,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/blog/creator-stories,05/03/2025 19:14,iOS,GB,Glasgow,192.0.2.207,4,False,22,False,
SYNZI22DV,UZ22IDXUE,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,06/03/2025 16:52,iOS,GB,Leeds,192.0.2.134,1,False,23,True,
SB0HKXYW6,ULXJFI13Z,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/blog/creator-stories,2025-03-07T03:02:45.071189+00:00Z,iOS,GB,London,192.0.2.76,3,False,20,False,
SF75QHESS,UZT1DCNRJ,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-05T23:34:00.942485+00:00Z,Android,GB,Leeds,192.0.2.200,2,False,26,False,GWDQWKB96EQ
SWKC11PDO,UKXZUQRTY,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/,2025-03-06 02:44:31,iOS,GB,Glasgow,192.0.2.155,1,False,31,False,
SG1PMEI8E,U066R8VKQ,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-07 00:08:53,Desktop,GB,Madrid,192.0.2.132,2,False,54,True,
SJQ9F4LG0,UGP35UA1V,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/pricing,2025-03-07T10:36:49.079930+00:00Z,iOS,GB,Birmingham,192.0.2.159,2,False,45,False,
SDI6OW51I,U29013JXN,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-05T19:19:44.762644+00:00Z,iOS,United Kingdom,Madrid,192.0.2.82,1,False,74,False,
S70YXB5TQ,U225HMIDL,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/,2025-03-07 03:09:03,Android,GB,Leeds,192.0.2.164,1,False,81,True,
S8LW6Q60L,UUDV3SRO5,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,1741215230938,Android,GB,Glasgow,192.0.2.9,1,True,4,False,
SAE9GKS0D,UVCN70FWC,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,1741235850660,iOS,United Kingdom,London,192.0.2.172,2,False,9,False,
SN36FAX5E,UBBS64ZZH,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-05 20:19:47,iOS,GB,Manchester,192.0.2.155,1,False,73,True,
SIHWB126F,UTI3IG59Z,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06T11:06:34.319688+00:00Z,iOS,GB,Leeds,192.0.2.242,1,True,2,False,
S6UOLGHTO,U9I5MPLWQ,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06 17:13:25,iOS,United Kingdom,Madrid,192.0.2.250,2,False,97,True,
SJSQSSIMN,U11EHC3DD,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06 09:19:28,iOS,IE,Glasgow,192.0.2.141,2,False,45,False,
SW7OPKTX0,UFN42VYM8,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06 08:14:16,Android,United Kingdom,London,192.0.2.158,2,False,96,True,
SRN6MT7XR,UNV2JNNN6,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06 02:09:21,Android,GB,Manchester,192.0.2.54,1,True,1,False,
SFICJ0Z68,U7D7PG04N,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/,1741330141856,iOS,GB,London,192.0.2.10,1,False,24,False,
SWEFGVY8M,UPOJI99ZG,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-05 20:13:27,iOS,GB,London,192.0.2.201,1,True,11,False,
SUQ5VMO74,UUFGNYA22,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-05T13:11:09.508925+00:00Z,iOS,GB,Leeds,192.0.2.86,1,False,30,False,G7WLNJ62239
SYL1JVF4R,U7C71F1U6,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-06T09:25:34.231045+00:00Z,iOS,GB,London,192.0.2.156,1,False,79,False,
S0J0XDRZH,UKN779PU3,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,1741258134139,iOS,GB,Dublin,192.0.2.215,1,False,32,False,
SB9T0EWNI,UBRD46BQQ,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-06 23:54:55,iOS,United Kingdom,London,192.0.2.166,3,False,41,False,
SMF7R2J6H,UW81WT4PD,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/pricing,2025-03-07 03:35:07,iOS,United Kingdom,Manchester,192.0.2.237,4,False,15,False,
SEL666Q7U,U9I5MPLWQ,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/features/tap-to-pay,2025-03-06T17:12:24.890779+00:00Z,iOS,ES,Manchester,192.0.2.128,4,False,93,True,GNTLBHEKWU8
SYN8WT5YM,UK8I9CATH,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/signup,2025-03-05T18:35:18.474166+00:00Z,Android,ES,Dublin,192.0.2.149,1,False,15,False,
SBP8LUAO6,U3AHG3D7J,PDU6HDPIT,C001,instagram reels,instagramreels,ugc,growth,PDU6HDPIT,/pricing,2025-03-06 13:39:49,Android,GB,Madrid,192.0.2.179,3,False,50,False,
S0JFNX899,UXF0TM6JF,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-08T14:52:05.895326+00:00Z,iOS,GB,Glasgow,192.0.2.25,2,False,20,False,
STACPI1I3,UDRNM1IY4,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,09/03/2025 07:50,iOS,GB,London,192.0.2.199,2,False,35,False,
SXPLS7IFK,U6ZPFBE4X,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,09/03/2025 13:42,iOS,GB,Dublin,192.0.2.192,4,False,72,True,
SGYPXD6AI,UHDY9MJYI,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-09 16:44:35,iOS,GB,Birmingham,192.0.2.236,3,False,24,False,
SYJD7UQCV,UECPXAG9Z,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/features/tap-to-pay,2025-03-09T21:38:18.881054+00:00Z,iOS,GB,Dublin,192.0.2.69,1,False,67,True,
SNZJ9PAD0,UWF5ZENYA,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/,1741480822816,iOS,IE,Madrid,192.0.2.144,2,False,12,False,
S8X8UHSRM,USVIJSSPX,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-09T09:13:35.326991+00:00Z,Android,United Kingdom,Glasgow,192.0.2.122,1,False,17,False,GSNKOZ3R0HQ
SMLM10HI2,UYWYJCMB8,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-09T15:52:06.756755+00:00Z,iOS,GB,London,192.0.2.185,1,True,0,False,
SRNJRZ645,UPL9GFK74,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-10 00:34:44,iOS,United Kingdom,Birmingham,192.0.2.131,1,False,12,False,GPOVJAONAN1
SLYWGAYVK,U46IVULBL,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-09 12:35:33,iOS,GB,Leeds,192.0.2.235,3,False,12,False,GE9I4IVNB23
SJ1R9BNIW,U4TN2DJ1P,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/blog/creator-stories,2025-03-08 12:03:50,iOS,GB,London,192.0.2.48,1,True,7,False,
SSKZS9GSR,U5H5MMWUK,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/,2025-03-10 05:32:57,Android,GB,Birmingham,192.0.2.36,1,False,48,False,
SMP8MOFXX,UOI2Q3N0B,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-10T05:48:26.589605+00:00Z,iOS,GB,Manchester,192.0.2.139,2,False,47,False,
SYJXEWGSL,UERWELYTW,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/features/tap-to-pay,2025-03-09 11:07:45,Android,GB,Madrid,192.0.2.219,1,False,22,False,
S83XDWB78,UJ4G3SA6P,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/features/tap-to-pay,2025-03-09T16:44:44.786970+00:00Z,iOS,IE,Birmingham,192.0.2.155,1,False,30,False,
SCCWEFKK7,U59P2K730,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,08/03/2025 12:05,Android,IE,Manchester,192.0.2.98,1,False,35,False,
S2QH8K03I,UOIH8NSSA,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/features/tap-to-pay,2025-03-09 19:27:56,iOS,GB,Dublin,192.0.2.234,1,False,20,False,
SSF7QS2H0,U3DJWRNUH,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-08 07:47:23,Android,GB,Glasgow,192.0.2.145,2,False,37,False,
S1K52Y3PY,UGDOSFH5N,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-08 16:28:50,iOS,GB,Leeds,192.0.2.166,6,False,64,False,
SA7HB1UTH,UL0IUXNRC,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,09/03/2025 16:52,Android,GB,Madrid,192.0.2.147,2,False,48,True,
SIDJDRJKQ,U20EIALDZ,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/features/tap-to-pay,2025-03-10 07:29:49,Android,GB,Glasgow,192.0.2.101,1,False,99,True,
SW30YVT1J,U63HBH869,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-08T13:22:54.999024+00:00Z,iOS,GB,Birmingham,192.0.2.161,2,False,64,False,
SG35PW7FO,U5CBXDUW2,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/,09/03/2025 04:53,iOS,GB,Dublin,192.0.2.21,1,False,68,False,
SLT3E0C7A,UNGOSOESK,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/blog/creator-stories,2025-03-09 02:05:14,Desktop,GB,Dublin,192.0.2.183,1,False,42,False,
S1KDBQ5HP,UJFSP76IU,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,1741425566291,iOS,GB,Dublin,192.0.2.196,1,False,52,False,GDKZANERAFI
SCDHSE3PJ,U4B0D8OV5,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,08/03/2025 10:46,Android,GB,Leeds,192.0.2.75,1,False,68,False,
SKVKJXD2R,UESSZNO6J,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/blog/creator-stories,1741573948528,iOS,United Kingdom,Glasgow,192.0.2.206,1,False,48,False,GX3UC5GJWGQ
SZDXDRXYB,U8OPNZ0XO,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,1741508778773,Desktop,United Kingdom,Glasgow,192.0.2.120,1,False,34,True,
SYCUGM26Q,UV96GTGD6,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,09/03/2025 06:39,iOS,GB,Madrid,192.0.2.208,2,False,57,False,
SKJOAPNA5,UA8IJADZU,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,1741462254488,iOS,ES,Madrid,192.0.2.32,1,True,10,False,
SWV5RFO6Q,UFD92XMPG,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,09/03/2025 16:28,Android,GB,Birmingham,192.0.2.181,1,False,102,True,GJJPSQQU7YG
SE0YZHHYG,U0RB43CQC,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/,10/03/2025 02:07,iOS,GB,Manchester,192.0.2.200,2,False,0,False,
SMWOC5AB2,UH9A444RR,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/signup,2025-03-08 12:26:08,Desktop,GB,Leeds,192.0.2.159,3,False,23,False,
SSDDXRPSA,UQ14KVPVY,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/,2025-03-09 06:28:38,iOS,GB,Dublin,192.0.2.195,2,False,1,False,
SLI3O52XP,UWUF0K6BK,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/features/tap-to-pay,2025-03-08T14:47:36.570484+00:00Z,Android,GB,Dublin,192.0.2.43,2,False,16,False,
SNIZTVLV8,U8ISNM2GU,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/features/tap-to-pay,2025-03-10 04:36:09,iOS,IE,Manchester,192.0.2.215,2,False,106,True,
ST7CLFEKZ,UE2SF33H7,PPTUUYDUG,C001,TikTok,TikTok,ugc,growth,PPTUUYDUG,/features/tap-to-pay,2025-03-08T18:41:46.209933+00:00Z,Android,GB,Madrid,192.0.2.47,1,False,121,True,
